TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
8,TRAIN,CC29-NE1,27286,87351
9,TRAIN,CC29-NE1,16412,62845
10,TRAIN,CC29-NE1,12211,45502
11,TRAIN,CC29-NE1,14957,37165
12,TRAIN,CC29-NE1,21350,45457
13,TRAIN,CC29-NE1,32027,33255
14,TRAIN,CC29-NE1,27843,29508
15,TRAIN,CC29-NE1,30290,26154
16,TRAIN,CC29-NE1,39696,26491
17,TRAIN,CC29-NE1,69700,34682
18,TRAIN,CC29-NE1,105848,54707
19,TRAIN,CC29-NE1,67716,36078
20,TRAIN,CC29-NE1,52487,18899
21,TRAIN,CC29-NE1,50214,11918
22,TRAIN,CC29-NE1,38439,9842
23,TRAIN,CC29-NE1,12226,3205
0,TRAIN,CC29-NE1,45,133
5,TRAIN,DT12-NE7,973,345
6,TRAIN,DT12-NE7,11315,14178
7,TRAIN,DT12-NE7,21116,29300
8,TRAIN,DT12-NE7,21561,56825
9,TRAIN,DT12-NE7,15986,33850
10,TRAIN,DT12-NE7,14423,25320
11,TRAIN,DT12-NE7,19784,24838
12,TRAIN,DT12-NE7,40574,28508
13,TRAIN,DT12-NE7,24981,39379
14,TRAIN,DT12-NE7,21036,24049
15,TRAIN,DT12-NE7,21415,19635
16,TRAIN,DT12-NE7,22509,21120
17,TRAIN,DT12-NE7,41688,27478
18,TRAIN,DT12-NE7,58687,41953
19,TRAIN,DT12-NE7,37363,36180
20,TRAIN,DT12-NE7,29530,21866
21,TRAIN,DT12-NE7,23884,13545
22,TRAIN,DT12-NE7,15265,8936
23,TRAIN,DT12-NE7,4867,4377
0,TRAIN,DT12-NE7,209,409
5,TRAIN,CC10-DT26,2655,382
6,TRAIN,CC10-DT26,16493,6648
7,TRAIN,CC10-DT26,26891,19815
8,TRAIN,CC10-DT26,28662,57117
9,TRAIN,CC10-DT26,15470,31157
10,TRAIN,CC10-DT26,11201,10330
11,TRAIN,CC10-DT26,11789,7204
12,TRAIN,CC10-DT26,14457,8939
13,TRAIN,CC10-DT26,11058,14133
14,TRAIN,CC10-DT26,9762,11458
15,TRAIN,CC10-DT26,10186,10376
16,TRAIN,CC10-DT26,12012,10800
17,TRAIN,CC10-DT26,30841,15805
18,TRAIN,CC10-DT26,59769,25382
19,TRAIN,CC10-DT26,24466,19946
20,TRAIN,CC10-DT26,10696,13616
21,TRAIN,CC10-DT26,6909,12633
22,TRAIN,CC10-DT26,5114,11266
23,TRAIN,CC10-DT26,1876,6164
0,TRAIN,CC10-DT26,106,938
5,TRAIN,CE2-NS27,131,145
6,TRAIN,CE2-NS27,248,4463
7,TRAIN,CE2-NS27,869,10707
8,TRAIN,CE2-NS27,1192,30092
9,TRAIN,CE2-NS27,865,17474
10,TRAIN,CE2-NS27,1147,4893
11,TRAIN,CE2-NS27,2876,3063
12,TRAIN,CE2-NS27,4193,2812
13,TRAIN,CE2-NS27,2148,5082
14,TRAIN,CE2-NS27,1910,3622
15,TRAIN,CE2-NS27,2690,2526
16,TRAIN,CE2-NS27,5100,2391
17,TRAIN,CE2-NS27,14448,2515
18,TRAIN,CE2-NS27,32023,3009
19,TRAIN,CE2-NS27,16477,2331
20,TRAIN,CE2-NS27,7299,1611
21,TRAIN,CE2-NS27,3845,965
22,TRAIN,CE2-NS27,2485,625
23,TRAIN,CE2-NS27,943,385
0,TRAIN,CE2-NS27,23,59
5,TRAIN,DT11-NS21,2605,2124
6,TRAIN,DT11-NS21,26413,32310
7,TRAIN,DT11-NS21,65608,79073
8,TRAIN,DT11-NS21,102698,126569
9,TRAIN,DT11-NS21,60393,76845
10,TRAIN,DT11-NS21,39307,43721
11,TRAIN,DT11-NS21,41596,37171
12,TRAIN,DT11-NS21,54531,45011
13,TRAIN,DT11-NS21,45667,58159
14,TRAIN,DT11-NS21,44297,51390
15,TRAIN,DT11-NS21,47997,48746
16,TRAIN,DT11-NS21,52952,53298
17,TRAIN,DT11-NS21,94170,78718
18,TRAIN,DT11-NS21,141674,124868
19,TRAIN,DT11-NS21,81740,80000
20,TRAIN,DT11-NS21,49687,50245
21,TRAIN,DT11-NS21,43391,45908
22,TRAIN,DT11-NS21,35704,36608
23,TRAIN,DT11-NS21,16351,16228
0,TRAIN,DT11-NS21,1071,1214
5,TRAIN,EW16-NE3,2283,183
6,TRAIN,EW16-NE3,11401,28135
7,TRAIN,EW16-NE3,18182,85418
8,TRAIN,EW16-NE3,23692,98689
9,TRAIN,EW16-NE3,17738,51387
10,TRAIN,EW16-NE3,16213,23046
11,TRAIN,EW16-NE3,21695,19135
12,TRAIN,EW16-NE3,30128,22416
13,TRAIN,EW16-NE3,18833,29763
14,TRAIN,EW16-NE3,18308,22579
15,TRAIN,EW16-NE3,22053,14638
16,TRAIN,EW16-NE3,33038,12952
17,TRAIN,EW16-NE3,82756,15593
18,TRAIN,EW16-NE3,97414,26426
19,TRAIN,EW16-NE3,41652,20534
20,TRAIN,EW16-NE3,24842,12068
21,TRAIN,EW16-NE3,23726,8661
22,TRAIN,EW16-NE3,14095,7913
23,TRAIN,EW16-NE3,5177,3969
0,TRAIN,EW16-NE3,22,302
5,TRAIN,CC9-EW8,2284,1251
6,TRAIN,CC9-EW8,20999,19969
7,TRAIN,CC9-EW8,37625,51354
8,TRAIN,CC9-EW8,46826,84782
9,TRAIN,CC9-EW8,27803,57423
10,TRAIN,CC9-EW8,20460,38868
11,TRAIN,CC9-EW8,23833,32560
12,TRAIN,CC9-EW8,30447,42527
13,TRAIN,CC9-EW8,39890,39221
14,TRAIN,CC9-EW8,36634,36881
15,TRAIN,CC9-EW8,42876,34205
16,TRAIN,CC9-EW8,44045,36856
17,TRAIN,CC9-EW8,73790,51348
18,TRAIN,CC9-EW8,104445,95336
19,TRAIN,CC9-EW8,66504,69754
20,TRAIN,CC9-EW8,52506,35473
21,TRAIN,CC9-EW8,49764,23885
22,TRAIN,CC9-EW8,32138,19976
23,TRAIN,CC9-EW8,10590,9506
0,TRAIN,CC9-EW8,505,1301
5,TRAIN,CC13-NE12,8239,781
6,TRAIN,CC13-NE12,55483,26686
7,TRAIN,CC13-NE12,112851,52717
8,TRAIN,CC13-NE12,136222,38794
9,TRAIN,CC13-NE12,70597,27469
10,TRAIN,CC13-NE12,40168,27323
11,TRAIN,CC13-NE12,36521,32012
12,TRAIN,CC13-NE12,39112,43289
13,TRAIN,CC13-NE12,46932,44974
14,TRAIN,CC13-NE12,48664,47299
15,TRAIN,CC13-NE12,45817,51889
16,TRAIN,CC13-NE12,45725,61643
17,TRAIN,CC13-NE12,57033,90382
18,TRAIN,CC13-NE12,76087,167661
19,TRAIN,CC13-NE12,55934,125364
20,TRAIN,CC13-NE12,43571,71526
21,TRAIN,CC13-NE12,42518,54336
22,TRAIN,CC13-NE12,27233,46546
23,TRAIN,CC13-NE12,8123,20993
0,TRAIN,CC13-NE12,445,2954
5,TRAIN,DT32-EW2,12910,2136
6,TRAIN,DT32-EW2,53814,24970
7,TRAIN,DT32-EW2,109874,56682
8,TRAIN,DT32-EW2,112727,56098
9,TRAIN,DT32-EW2,56748,36338
10,TRAIN,DT32-EW2,36795,29722
11,TRAIN,DT32-EW2,34046,30407
12,TRAIN,DT32-EW2,37213,38977
13,TRAIN,DT32-EW2,40501,40233
14,TRAIN,DT32-EW2,40975,42429
15,TRAIN,DT32-EW2,39783,49292
16,TRAIN,DT32-EW2,42764,54992
17,TRAIN,DT32-EW2,60065,82219
18,TRAIN,DT32-EW2,84495,160368
19,TRAIN,DT32-EW2,62885,117365
20,TRAIN,DT32-EW2,45534,62945
21,TRAIN,DT32-EW2,41162,44543
22,TRAIN,DT32-EW2,24963,38689
23,TRAIN,DT32-EW2,7113,18745
0,TRAIN,DT32-EW2,524,4130
11,TRAIN,NS7,13603,10196
16,TRAIN,SW4,847,1563
10,TRAIN,CC5,2066,3986
13,TRAIN,CC23,11505,14134
22,TRAIN,EW33,1062,1916
14,TRAIN,CC21,7755,7847
18,TRAIN,EW24-NS1,222954,172499
7,TRAIN,NE10,24544,35233
8,TRAIN,EW22,13163,54242
14,TRAIN,CC16,8135,6888
10,TRAIN,EW11,16838,18168
6,TRAIN,CC1-NE6-NS24,3263,9341
0,TRAIN,EW19,48,287
8,TRAIN,CC8,18336,8250
17,TRAIN,EW33,9613,4387
22,TRAIN,NS28,781,1256
0,TRAIN,DT10,15,78
9,TRAIN,CC14,9145,4706
14,TRAIN,EW27,29294,34644
18,TRAIN,DT27,29483,14016
7,TRAIN,BP10,12771,3320
15,TRAIN,NE10,14356,11905
18,TRAIN,EW22,32589,21518
15,TRAIN,CC25,4908,3778
10,TRAIN,SW6,3032,1189
17,TRAIN,DT31,8438,11997
15,TRAIN,CC14,11798,6638
0,TRAIN,NS8,883,2983
18,TRAIN,NS14,40693,88165
