LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.27397837,103.8448956,3222,29288.4349,28495.5789,Hub Synergy Pt Anson Rd
1.275703396,103.8463247,3223,29447.4763,28686.3241,Tanjong Pagar Stn Exit C Anson Rd
1.272906892,103.8467067,3239,29489.9926,28377.1014,Shenton Way Ter Shenton Way
1.276633072,103.8607681,3331,31054.9112,28789.1356,Bef Marina Gdns Dr Marina Blvd
1.274985164,103.8595002,3339,30913.8038,28606.9169,Aft Marina Gdns Dr Central Blvd
1.2795978,103.8643377,3341,31452.1758,29116.9644,Bef Gdns by the Bay Marina Gdns Dr
1.279656006,103.8647781,3349,31501.1882,29123.4011,Aft Gdns by the Bay Marina Gdns Dr
1.279607721,103.8698745,3369,32068.3762,29118.0695,Marina Barrage Marina Gdns Dr
1.280664793,103.8662696,3371,31667.1759,29234.9497,Gdns by the Bay Marina Gdns Dr
1.281626013,103.8530651,3381,30197.6306,29341.2213,The Sail Marina Blvd
1.280376604,103.8549801,3391,30410.7479,29203.0698,Marina Bay Financial Ctr Marina Blvd
1.271592998,103.863009,3411,31304.3147,28231.833,Opp Marina Sth Pier Marina Coastal Dr
1.271276985,103.8629769,3419,31300.7456,28196.8898,Marina Sth Pier Marina Coastal Dr
1.266940903,103.8596478,3421,30930.2417,27717.4243,Marina Bay Cruise Ctr Marina Coastal Dr
1.285004676,103.8606111,3501,31037.4255,29714.8242,Marina Bay Sands Theatre Bayfront Ave
1.28315,103.8600439,3509,30974.3069,29509.743,Bayfront Stn Exit B/MBS Bayfront Ave
1.281947795,103.8589706,3511,30854.8655,29376.8081,Aft Bayfront Stn Exit E Bayfront Ave
1.281245,103.858848,3519,30841.2164,29299.0965,Bayfront Stn Exit A Bayfront Ave
1.279399574,103.8527877,3529,30166.7559,29095.033,Downtown Stn Central Blvd
1.277533055,103.8556161,3539,30481.5358,28888.6455,Marina Bay Stn Central Blvd
1.29807217,103.8497561,4019,29829.347,31159.7499,Opp Bencoolen Stn Exit B Bencoolen St
1.299481667,103.8509267,4029,29959.6226,31315.6057,Bef Bencoolen Stn Exit A Bencoolen St
1.294002031,103.8512898,4111,30000.0448,30709.6961,Capitol Bldg Stamford Rd
1.296185441,103.8495803,4121,29809.7863,30951.125,SMU Stamford Rd
1.293098264,103.8496599,4142,29818.6524,30609.761,Armenian Ch Hill St
1.294116408,103.8502061,4143,29879.4305,30722.3425,Stamford Ct Hill St
1.292761324,103.8498374,4149,29838.4033,30572.504,Grand Pk City Hall Hill St
1.295337778,103.8511397,4151,29983.337,30857.396,Cath Of The Good Shepherd Victoria St
1.294894849,103.8510814,4159,29976.8451,30808.4192,Aft Chijmes Victoria St
1.292500065,103.8514532,4167,30018.2215,30543.6166,City Hall Stn Exit B Nth Bridge Rd
1.292082215,103.8512599,4168,29996.7195,30497.4127,Aft City Hall Stn Exit B Nth Bridge Rd
1.296479163,103.8514716,4179,30020.2762,30983.6048,Aft Bras Basah Stn Exit A Bras Basah Rd
1.297804756,103.84975,4189,29828.6713,31130.1807,Manulife Ctr Prinsep St
1.290436111,103.8471244,4211,29536.4747,30315.3922,Clarke Quay River Valley Rd
1.290968028,103.8468678,4219,29507.9097,30374.2086,Opp Clarke Quay River Valley Rd
1.288989622,103.8470898,4222,29532.6159,30155.4468,Clarke Quay Stn Exit E Eu Tong Sen St
1.290844761,103.848579,4223,29698.3552,30360.5795,Old Hill St Police Stn Hill St
1.290448308,103.8487512,4229,29717.5227,30316.7419,High St Ctr Hill St
1.288827179,103.8474938,4239,29577.5831,30137.485,Opp Clarke Quay Stn New Bridge Rd
1.290430394,103.8502622,4249,29885.6762,30314.7621,Opp The Treasury Nth Bridge Rd
1.289738333,103.8488847,4251,29732.379,30238.2366,Opp High St Ctr Nth Boat Quay
1.294645753,103.8439214,4311,29180.0039,30780.871,Aft River Valley Rd Clemenceau Ave
1.292140008,103.8430365,4321,29081.5165,30503.7982,Shell HSE Clemenceau Ave
1.291970572,103.8432839,4329,29109.0487,30485.0629,Opp Shell HSE Clemenceau Ave
1.291839394,103.8450409,4331,29304.5926,30470.5588,Bef Fort Canning Stn River Valley Rd
1.292211,103.845005,4339,29300.5978,30511.649,Fort Canning Stn Exit B River Valley Rd
1.285925541,103.8492364,5009,29771.5237,29816.638,Opp OCBC Ctr Nth Canal Rd
1.281545833,103.8408772,5012,28841.2152,29332.3482,Bef Pearl`s Hill Terr Eu Tong Sen St
1.2840698,103.8429987,5013,29077.3221,29611.4362,Chinatown Stn Exit C Eu Tong Sen St
1.281183888,103.84105,5019,28860.4441,29292.3263,Aft Duxton Plain Pk New Bridge Rd
1.285710899,103.844372,5022,29230.1572,29792.9011,Aft Chinatown Stn Exit D Eu Tong Sen St
1.286929284,103.8454038,5023,29344.9787,29927.6243,Opp Hong Lim Pk Eu Tong Sen St
1.287246565,103.8483334,5029,29671.0274,29962.7094,Boat Quay Sth Bridge Rd
1.282938191,103.8425428,5039,29026.5763,29486.3086,New Bridge Ctr New Bridge Rd
1.285311147,103.8445507,5049,29250.0422,29748.6987,Chinatown Pt New Bridge Rd
1.286764201,103.8457504,5059,29383.5534,29909.3705,Hong Lim Pk New Bridge Rd
1.2802763,103.8402979,5069,28776.7434,29191.9696,Outram Pk Stn Exit H New Bridge Rd
1.286011667,103.8463467,5129,29449.9172,29826.1595,Hong Lim Pk Upp Pickering St
1.283985132,103.8452739,5131,29330.5253,29602.0751,Opp Hong Lim Cplx Upp Cross St
1.282091396,103.8452806,5189,29331.2765,29392.6756,Opp Sri Mariamman Tp Sth Bridge Rd
1.284470787,103.8466708,5199,29485.9906,29655.7772,Opp Hong Lim Cplx Sth Bridge Rd
1.278368849,103.8413465,5239,28893.4434,28981.0539,Bef The Pinnacle@Duxton Neil Rd
1.280793646,103.8422011,5241,28988.5549,29249.1757,Opp Blk 333 Kreta Ayer Rd
1.279157174,103.8420009,5259,28966.2689,29068.223,Aft Kreta Ayer Rd Neil Rd
1.28112262,103.8447242,5269,29269.3581,29285.5531,Maxwell Rd FC Sth Bridge Rd
1.279753295,103.8438221,5271,29168.9596,29134.1398,Opp Fairfield Meth Ch Tg Pagar Rd
1.284496673,103.8490869,5319,29754.8787,29658.641,OCBC Ctr Church St
1.275191657,103.8430919,5411,29087.6939,28629.7371,Tg Pagar Plaza Tg Pagar Rd
1.274706694,103.8431868,5419,29098.2595,28576.1125,The Amara Tg Pagar Rd
1.277774705,103.8434635,5421,29129.0454,28915.3574,Aft Craig Rd Tg Pagar Rd
1.277694131,103.8437065,5429,29156.0973,28906.448,Bef Craig Rd Tg Pagar Rd
1.275534722,103.8411269,5519,28869.0092,28667.6707,Opp Maritime Hse Cantonment Rd
1.276768611,103.8405922,5521,28809.4985,28804.1076,Maritime Hse Cantonment Rd
1.27329192,103.8419291,5629,28958.2829,28419.6736,Opp Southpoint Cantonment Rd
1.273460559,103.8403472,5631,28782.2285,28438.3203,Blk 16 Cantonment Link
1.272723931,103.8414062,5641,28900.0878,28356.8681,Bef Cantonment Rd Keppel Rd
1.272384212,103.8409391,5649,28848.1072,28319.3036,Opp Customs Port Br HQ Keppel Rd
1.273242421,103.8430509,5651,29083.126,28414.2007,Opp Fuji Xerox Twrs Tg Pagar Rd
1.28166,103.8380139,6011,28522.5496,29344.9715,Opp Outram Pk Stn Outram Rd
1.281682371,103.8387564,6029,28605.1877,29347.4453,Outram Pk Stn Outram Rd
1.286070556,103.8387917,6031,28609.1089,29832.6681,Opp Blk 13 Chin Swee Rd
1.287059979,103.8396256,6039,28701.9135,29942.0736,Blk 8 Chin Swee Rd
1.284748569,103.8351771,6049,28206.8324,29686.489,Bef Outram Flyover Outram Rd
1.28475981,103.8340567,6051,28082.1486,29687.7319,Blk 55 Tiong Bahru Rd
1.286231577,103.8349616,6069,28182.8572,29850.4724,Aft Furama RiverFront Outram Rd
1.286858595,103.8336003,6071,28031.3512,29919.8047,Blk 2B Zion Rd
1.288370864,103.8334988,6081,28020.059,30087.0237,Blk 94 Zion Rd
1.290781621,103.8344092,6129,28121.3731,30353.5927,Grand Copthorne Hotel Kim Seng Rd
1.291524722,103.8322275,6131,27878.5723,30435.761,The Boys` Brigade HQ Zion Rd
